@relation 'flchain'
@attribute 'age' numeric
@attribute 'sex' {'F','M'}
@attribute 'sample.yr' numeric
@attribute 'kappa' numeric
@attribute 'lambda' numeric
@attribute 'flc.grp' {'1','10','2','3','4','5','6','7','8','9'}
@attribute 'mgus' {'0','1'}
@attribute 'time' numeric
@attribute 'status' numeric
@data
59,"F",1996,1.6,1.62,"7","0",4682,0
50,"F",1998,1.52,1.48,"6","0",4187,0
54,"M",1997,1.32,1.34,"5","0",392,0
58,"M",1996,1.42,1.78,"7","0",4882,1
54,"F",1997,1.03,1.04,"2","0",4403,0
57,"F",1995,1.14,1.61,"5","0",4953,0
55,"M",2001,1.5,1.4,"6","0",3002,0
71,"M",1996,0.858,1.08,"2","0",4691,0
64,"F",1996,1.31,0.92,"3","0",4849,0
64,"F",2001,1.64,1.75,"8","0",2836,0
71,"M",1996,1.45,1.43,"6","0",4816,0
53,"F",1999,1.96,2.66,"9","0",3791,0
71,"F",1996,1.16,1.29,"4","0",4837,0
74,"M",1999,1.49,1.79,"7","0",783,1
58,"F",1997,1.62,2.15,"8","0",4472,0
84,"F",1995,1.24,1.73,"6","0",2617,1
71,"F",1995,1.17,1.91,"7","0",4991,0
53,"F",1998,1.85,1.28,"7","0",3992,0
67,"F",1995,1.14,1.75,"6","0",4963,0
69,"F",1996,2.39,2.99,"10","0",3193,1
65,"M",1997,2.02,2.33,"9","0",4549,0
51,"M",2001,1.76,1.71,"8","0",2977,0
63,"M",1996,1.03,1.21,"3","0",4772,0
78,"M",1997,1.69,2.15,"8","0",4321,0
71,"M",1996,1.72,2.47,"9","0",2479,1
55,"M",1997,1.95,2.29,"9","0",4533,0
77,"F",1996,1.07,0.729,"2","0",4454,1
74,"F",1997,1.57,2.36,"9","0",4019,1
55,"M",1996,1.66,1.61,"7","0",4754,0
60,"F",1996,0.313,0.343,"1","0",4660,0
58,"M",1996,1.3,1.4,"5","0",4708,0
60,"F",1996,0.69,1.05,"1","0",4806,0
66,"M",1996,2.16,2.09,"9","0",2587,1
68,"F",1996,1.61,2.24,"8","0",4411,0
56,"M",1995,1.24,1.55,"5","0",3228,0
56,"F",1998,1.27,1.27,"4","0",3780,0
63,"M",1998,1.82,1.61,"8","0",4008,0
57,"F",1996,0.935,1.45,"4","0",4737,0
70,"F",1996,1.01,1.52,"4","0",4831,0
50,"M",1999,1.38,1.95,"7","0",3808,0
74,"F",1996,1.6,1.42,"6","0",4670,0
72,"F",1996,1.68,1.54,"7","0",414,1
62,"F",1996,2.41,6.81,"10","0",2482,1
50,"F",1997,0.934,0.563,"1","1",4400,0
65,"F",1996,0.44,1.06,"1","0",4814,0
50,"F",1997,0.818,1.09,"2","0",4359,0
67,"F",1996,1.18,1.13,"3","0",4927,0
57,"M",1997,1.34,1.33,"5","0",3323,1
54,"F",1997,0.666,0.444,"1","0",4397,0
73,"M",1996,2.15,1.89,"9","0",4793,0
57,"F",1996,1.57,2.2,"8","0",4920,0
52,"M",2003,1.3,0.913,"3","0",2294,0
71,"M",1996,0.52,1.12,"1","0",2408,1
52,"F",1997,0.745,1.28,"2","0",4249,0
63,"F",1996,1.4,1.25,"5","0",4926,0
70,"M",1999,0.902,1.92,"6","0",3703,0
58,"M",1996,0.65,1.11,"2","0",4824,0
50,"F",1996,0.657,1.12,"2","0",4708,0
58,"F",1996,2.38,2.26,"9","0",4338,0
58,"F",1996,0.807,1.42,"3","0",4729,0
55,"F",1999,1.36,2.55,"9","0",1872,0
79,"M",1995,1.82,1.7,"8","0",1614,1
72,"M",1995,1.89,2.58,"9","0",1945,1
68,"F",1998,1.57,1.71,"7","0",2605,0
78,"F",1995,2.32,1.94,"9","0",2031,1
57,"M",1996,1.32,1.76,"7","0",4802,0
54,"M",1995,1.4,1.48,"6","0",4975,0
68,"M",1996,1.82,1.91,"8","0",4824,0
88,"F",2000,3.53,2.85,"10","0",1641,1
74,"M",1996,1.35,1.49,"6","0",4865,0
81,"F",1996,0.91,1.62,"4","0",3065,1
53,"M",1996,1.15,1.12,"3","0",4621,0
63,"M",1996,0.81,1.37,"3","0",4578,0
101,"F",1996,1.54,1.73,"7","0",4,1
52,"M",1997,1.65,1.63,"7","0",1609,1
52,"F",1997,1.41,2.37,"8","0",4484,0
92,"F",1996,0.601,1.44,"2","0",2000,1
54,"F",1995,5.98,4.57,"10","0",4989,0
60,"F",1995,1.64,2.41,"9","0",4983,0
63,"F",1997,1.59,1.66,"7","0",612,1
72,"F",1996,1.53,1.19,"5","0",4823,0
61,"M",1996,0.86,1.41,"3","0",4872,0
79,"F",1996,1.6,1.51,"7","0",778,0
63,"F",2000,2.88,4.19,"10","0",2842,0
73,"M",1996,2.13,2.32,"9","0",4619,0
58,"F",1998,1.73,1.57,"7","0",3475,1
72,"F",1995,5.01,5.43,"10","0",7,1
77,"F",1997,1.12,1.5,"5","0",4486,0
61,"M",1995,1.2,1.72,"6","0",4254,1
56,"F",1998,0.737,1.02,"2","0",3850,0
50,"M",2003,1.36,1.74,"7","0",2289,0
68,"F",1996,1.37,2.2,"8","0",4760,0
62,"M",1996,1.42,1.57,"6","0",4837,0
50,"M",1997,1.28,2.14,"8","0",4481,0
85,"M",1996,1.32,2.07,"8","0",420,1
61,"M",2001,2.49,2.42,"10","0",2902,0
53,"M",1996,0.9732,1.08,"2","0",4694,0
58,"M",1996,0.875,0.993,"2","0",4792,0
51,"F",1996,1.32,1.17,"4","0",4590,0
53,"M",1996,0.46,1.33,"2","0",4904,0
85,"F",1996,1.45,1.67,"7","0",677,1
62,"F",1996,1.08,2.13,"7","0",971,1
71,"F",1995,1.62,2.01,"8","0",4999,0
77,"F",1996,1.19,1.63,"6","0",3095,1
52,"M",1996,0.39,0.99,"1","0",2159,1
50,"M",1996,0.79,2.62,"8","0",4884,0
53,"F",1996,1.45,1.22,"5","0",4913,0
61,"M",1996,2.22,2.2,"9","0",4739,0
57,"M",1996,1.37,1.72,"7","0",4771,0
66,"F",1995,1.33,2.74,"9","0",4962,0
77,"F",1996,1.68,1.34,"6","0",2643,1
72,"F",1996,2.46,2.04,"9","0",4649,0
66,"M",1997,1.09,1.46,"4","0",4327,0
71,"M",1996,2.1,1.68,"8","0",2552,1
59,"F",1997,0.645,1.13,"2","0",4345,0
72,"F",1997,0.98,1.46,"4","0",4228,0
60,"F",1995,1,1.03,"2","0",4957,0
74,"F",1996,1.66,1.59,"7","0",4640,0
73,"M",1997,1.38,1.89,"7","0",1103,1
66,"F",1995,0.71,2.45,"7","0",1681,1
60,"M",1997,0.904,1.63,"4","0",4542,0
64,"M",1996,1.32,1.9,"7","0",4905,0
69,"M",1996,1.84,2.09,"9","0",3076,1
50,"M",1996,1.28,1.052,"4","0",4752,0
52,"F",1997,1.51,1.29,"5","0",4527,0
71,"M",1996,0.64,1.52,"3","0",44,1
59,"M",1996,1.94,2.44,"9","0",234,1
52,"F",1996,1.79,2.19,"9","0",4619,0
84,"M",1996,2.26,2.45,"9","0",4892,0
57,"M",1997,1.12,0.955,"2","0",4474,0
81,"M",1996,1.14,1.98,"7","0",1645,1
58,"F",1996,0.903,1.06,"2","0",4766,0
69,"F",1996,0.79,1.63,"4","0",4921,0
73,"F",1998,1.6,1.97,"8","0",3927,0
64,"M",1996,4.42,5.96,"10","0",1931,0
57,"F",2003,2.03,2.83,"10","0",2262,0
57,"M",1997,0.382,1.32,"1","0",4493,0
62,"M",1998,3.84,3.34,"10","0",1108,1
80,"F",1996,1.12,1.34,"4","0",4793,0
52,"M",1996,1.64,1.72,"7","0",4634,0
77,"F",1995,0.87,1.34,"3","0",4372,0
89,"F",1996,1.53,1.09,"5","0",1746,1
85,"F",1998,1.69,1.39,"7","0",3058,1
52,"M",1996,0.672,1.04,"1","0",4674,0
62,"M",1996,1.52,2.12,"8","0",2861,1
51,"F",1995,1.89,2.03,"9","0",5122,0
63,"F",1996,0.72,2,"5","0",4844,0
82,"F",1995,1.86,2.3,"9","0",4948,0
75,"M",1996,3.23,3.61,"10","0",4698,0
67,"F",1996,0.89,1.44,"3","0",4824,0
51,"M",1997,1.09,1.14,"3","0",4285,0
88,"M",1995,1.86,1.78,"8","0",1345,1
70,"M",1997,2.29,2.51,"10","0",4487,0
57,"F",1995,1.25,0.99,"3","0",4930,0
92,"M",1996,4.18,3.09,"10","0",436,1
81,"F",1996,1.85,1.75,"8","0",4564,1
51,"M",1996,0.984,1.01,"2","0",4599,0
83,"M",1996,5.97,6.57,"10","0",2252,1
75,"F",1995,0.35,0.96,"1","0",2225,0
55,"F",1997,1.11,0.88,"2","0",2449,0
52,"F",1998,1.31,1.7,"6","0",3865,0
54,"F",1996,1.15,1.59,"5","0",4729,0
78,"F",1998,1.87,1.79,"8","0",786,1
63,"F",1995,0.85,1.74,"5","0",5118,0
68,"F",1995,1.12,1.57,"5","0",4976,0
55,"M",1997,0.237,1.24,"1","1",4440,0
79,"M",1996,0.9,1.4,"3","0",4843,0
66,"M",2000,1.97,2.14,"9","0",311,1
58,"M",1995,0.79,1.2,"2","0",5060,0
51,"F",1996,0.64,1.21,"2","0",4724,0
56,"M",1997,0.877,1.26,"3","0",4472,0
58,"F",1996,1.23,1.26,"4","0",4210,0
58,"F",1996,1.88,1.86,"8","0",4660,0
70,"M",1996,1.23,1.47,"5","0",4865,0
56,"M",1998,1.19,1.33,"4","0",484,0
51,"M",1995,0.63,1.22,"2","0",4956,0
80,"F",1996,1,2.64,"8","0",1441,1
51,"F",2003,1.85,1.47,"7","0",2313,0
69,"M",1998,1.48,1.47,"6","0",3918,0
54,"M",2003,1.41,1.37,"5","0",2170,0
63,"F",1997,1.21,1.11,"3","0",2649,1
78,"F",1995,0.99,1.32,"3","0",2604,1
68,"F",1996,1.36,1.64,"6","0",4785,0
61,"M",1996,1.07,1.25,"3","0",1419,1
76,"M",1996,1.83,3.31,"10","0",1967,1
78,"F",1995,2.1,2,"9","0",3476,1
50,"F",1998,1.46,2.24,"8","0",3989,0
61,"M",2000,1.29,1.25,"4","0",3459,0
70,"F",1999,1.7,1.72,"8","0",3557,0
82,"F",1996,2.26,2.4,"9","0",4541,1
85,"M",1997,2.03,2.79,"10","0",839,1
52,"F",1995,1.21,1.61,"6","0",4997,0
69,"F",1996,1.32,1.88,"7","0",4161,1
83,"F",1997,1.2,1.98,"7","0",823,1
50,"F",1996,0.98,0.56,"1","1",4800,0
62,"M",1995,1.29,1.41,"5","0",4983,0
80,"F",1996,1.91,2.58,"9","0",4113,1
56,"F",1995,1.01,1.43,"4","0",4981,0
58,"M",1996,0.54,0.66,"1","0",4845,0
58,"F",1995,2.23,2.18,"9","0",86,1
50,"M",1995,1.47,2.09,"8","0",4985,0
71,"F",1998,1.42,1.8,"7","0",2643,1
81,"M",1997,2.21,3.45,"10","0",3223,1
53,"M",1996,1.73,1.56,"7","0",4683,0
69,"F",1996,1.4,1.03,"4","0",3135,1
89,"F",1997,1.88,1.28,"7","0",3423,1
58,"M",1997,0.162,1.19,"1","1",4509,0
52,"F",1996,0.954,1.29,"3","0",4605,0
69,"F",1997,1.19,1.32,"4","0",4395,0
69,"F",2002,0.964,2.46,"8","0",2541,0
72,"M",1997,2.32,2.28,"9","0",4501,0
68,"M",1995,2.04,1.74,"8","0",4950,0
67,"F",1996,1.37,1.71,"7","0",574,0
77,"F",1996,1.33,1.37,"5","0",4329,1
63,"M",1996,0.82,1.5,"3","0",4676,0
57,"M",1997,0.892,1.39,"3","0",4290,0
64,"F",1995,1.9,2.22,"9","0",4957,0
55,"M",1996,1.68,1.52,"7","0",4871,0
67,"F",1995,0.8,1.46,"3","0",1530,1
75,"F",1997,2.43,2.11,"9","0",4561,0
72,"M",1995,0.74,1.25,"2","0",5002,0
75,"F",1997,0.713,0.953,"1","0",576,1
80,"F",1996,1.77,1.78,"8","0",1071,0
75,"F",1996,3.22,3.07,"10","0",4656,0
79,"F",1995,1.37,1.48,"6","0",4955,0
56,"F",1996,0.8,0.89,"1","0",4852,0
67,"M",2001,1.55,1.67,"7","0",3060,0
75,"M",1997,2.93,2.66,"10","0",4415,0
66,"F",1995,1.64,2.04,"8","0",3773,1
85,"M",1995,1.19,1.2,"4","0",230,1
51,"F",1996,0.282,0.44,"1","0",3675,1
57,"M",1996,0.9,1.09,"2","0",4808,0
53,"M",1996,1.25,2.45,"8","0",4726,0
52,"M",1995,0.95,1.34,"3","0",4950,0
54,"M",1997,1.42,1.71,"7","0",3392,0
72,"F",1996,1.34,0.9,"3","0",4429,1
61,"F",1996,0.74,1.49,"3","0",4834,0
61,"M",2000,1.83,1.95,"8","0",3242,1
74,"F",1996,0.81,0.78,"1","0",4844,0
62,"F",1997,1.52,0.727,"3","1",3859,1
51,"F",2003,0.884,1.03,"2","0",2206,0
63,"F",1996,1.2,1.25,"4","0",4752,0
70,"M",1996,1.25,1.72,"6","0",4383,0
67,"F",1997,1.45,1.58,"6","0",4160,1
56,"F",1998,0.646,1.49,"3","0",3955,0
78,"F",2001,2.17,1.92,"9","0",695,1
61,"M",2003,0.653,1.19,"2","0",2240,0
87,"M",1999,2.84,2.14,"10","0",520,1
60,"M",1999,1.84,2.21,"9","0",772,1
67,"F",1996,0.79,1.4,"3","0",4844,0
60,"F",1997,0.804,2.34,"7","0",4408,0
64,"M",1996,1.13,1.85,"6","0",4822,0
82,"F",1998,2.08,1.97,"9","0",440,1
63,"M",1996,0.725,0.285,"1","1",4680,0
57,"M",1997,0.908,1.19,"3","0",3249,1
51,"F",1997,1.4,2.97,"9","0",4519,0
61,"M",1998,0.249,0.174,"1","0",4194,0
51,"F",1995,1.14,1.52,"5","0",4992,0
64,"M",1996,0.42,1.48,"2","0",2409,0
77,"F",1996,2.1,6.6,"10","0",2919,1
62,"F",1998,1.12,1.77,"6","0",3231,1
77,"M",1996,1.9,2.04,"9","0",812,1
72,"M",1996,1.64,1.26,"6","0",4661,0
66,"F",1996,1.01,1.34,"4","0",2615,1
54,"M",1996,1.01,1.07,"2","0",4821,0
60,"F",1996,1.23,1.34,"5","0",4814,0
63,"F",1996,0.869,1.05,"2","0",4733,0
54,"F",2003,0.724,0.943,"1","0",2232,0
54,"M",1996,1.36,2.13,"8","0",4844,0
58,"M",1996,0.59,1.47,"2","0",649,1
55,"M",1996,0.85,1.09,"2","0",4849,0
51,"F",1995,1.17,1.63,"5","0",5003,0
63,"M",1995,0.88,1.21,"3","0",4467,1
73,"M",1995,1.48,1.74,"7","0",5004,0
79,"M",1997,3.56,3.5,"10","0",1195,1
68,"M",1998,2.2,2.34,"9","0",4141,0
67,"F",1996,0.328,0.926,"1","0",4737,0
54,"F",1996,0.8,1.21,"2","0",4656,0
59,"F",1995,2.23,1.77,"9","0",4310,1
57,"F",2002,1.31,1.82,"7","0",2535,0
67,"F",1997,1.53,1.63,"7","0",4269,0
69,"F",1996,0.721,1.2,"2","0",4641,0
59,"M",1996,1.87,2.13,"9","0",4844,0
55,"F",1996,10.8,11.8,"10","0",1009,1
50,"M",1998,1.36,1.41,"5","0",226,1
70,"F",1996,2.25,2.27,"9","0",4652,0
55,"M",1996,1.38,1.43,"6","0",3518,0
74,"F",1996,0.726,1.67,"4","0",1825,1
62,"M",1996,1.14,1.14,"3","0",4925,0
79,"F",1995,1,1.43,"4","0",2115,1
83,"F",1998,1.47,1.17,"5","0",4163,0
55,"F",1996,2.02,2.05,"9","0",4683,0
67,"M",1997,0.221,0.36,"1","0",4331,0
67,"M",1997,1.04,1.42,"4","0",4486,0
70,"F",1995,1.13,1.36,"4","0",4977,0
52,"M",1995,1.09,1.08,"3","0",4990,0
56,"F",1997,1.05,1.8,"6","0",4547,0
53,"M",1996,0.892,1.02,"2","0",4653,0
74,"M",1997,1.58,1.35,"6","0",4415,0
59,"F",1997,1.21,1.01,"3","0",4514,0
70,"F",1996,1.59,1.85,"8","0",4325,1
75,"F",1996,2.05,2.25,"9","0",4822,0
52,"M",1996,0.71,0.53,"1","0",4852,0
73,"M",1997,1.09,1.42,"4","0",1712,1
56,"F",1996,1.72,2.22,"9","0",4870,0
83,"F",1995,2.13,2.03,"9","0",973,1
57,"M",1995,0.34,1.18,"1","0",4135,1
68,"M",1996,1.06,1.34,"4","0",4844,0
85,"F",1996,1.97,2.51,"9","0",680,1
56,"F",1996,0.49,0.56,"1","0",4900,0
65,"F",2003,2.18,2.07,"9","0",2290,0
51,"F",1997,1.17,1.33,"4","0",4515,0
56,"M",2000,1.45,1.75,"7","0",3120,0
70,"F",1996,0.92,1.12,"2","0",1268,1
60,"F",1996,1.01,0.953,"2","0",4786,0
61,"F",1996,1.39,1.13,"4","0",703,1
67,"F",1996,1.22,1.31,"4","0",4613,0
78,"M",1996,2.58,1.94,"9","0",2353,1
83,"F",1996,0.646,0.552,"1","0",2993,1
74,"M",1996,2.06,2.06,"9","0",3005,1
57,"F",1996,0.47,0.89,"1","0",4920,0
64,"M",1996,1.82,1.38,"7","0",3359,1
52,"F",1996,2.27,2.32,"9","0",1995,0
81,"F",1995,0.34,0.86,"1","0",27,1
54,"F",1996,2.44,2.15,"9","0",4744,1
52,"F",1996,1.11,1.09,"3","0",4764,0
55,"M",1996,0.97,2.13,"7","0",4849,0
51,"F",1996,1.28,1.85,"7","0",4729,0
50,"M",1998,1.39,2.04,"8","0",4080,0
59,"M",2003,1.16,1.65,"6","0",584,0
74,"F",1995,0.7,1.32,"2","0",4947,0
52,"F",1996,1.41,1.47,"6","0",4661,0
51,"F",2003,0.97,1.41,"4","0",2230,0
51,"F",1996,0.509,0.251,"1","1",4627,0
56,"F",1998,1.19,1.64,"6","0",4031,0
79,"F",1995,1.08,1.7,"5","0",4976,0
69,"F",1996,0.9,1.1,"2","0",4851,0
78,"F",1996,1.34,1.28,"5","0",4108,0
59,"F",1998,0.961,1.05,"2","0",4059,0
77,"M",1996,2.66,3.39,"10","0",2591,1
75,"M",1996,1.66,2.24,"9","0",4652,0
72,"F",2002,1.22,1.14,"4","0",2512,0
53,"F",1998,1.16,1.56,"5","0",4059,0
85,"M",1997,3.6,3.84,"10","0",681,1
71,"F",1997,1.26,1.13,"4","0",1409,1
51,"F",1998,1.5,1.3,"5","0",4043,0
66,"M",1995,1.51,1.32,"6","0",4950,0
64,"M",1996,0.46,1.74,"3","0",4046,0
61,"M",2003,1.9,2.09,"9","0",2316,0
74,"M",1996,0.392,1.17,"1","0",4619,0
81,"F",1996,1.83,1.88,"8","0",4633,0
76,"M",1996,2.56,2.11,"9","0",4757,0
93,"F",1996,1.32,1.69,"6","0",1039,1
82,"F",1996,1.91,2.06,"9","0",3618,1
57,"M",1995,1.87,3.79,"10","0",4114,1
61,"F",1995,1.6,1.92,"8","0",4990,0
50,"M",1996,1.35,1.14,"4","0",4649,0
51,"F",1995,1.39,1.37,"5","0",4697,0
72,"M",1995,1.57,1.53,"7","0",3839,1
86,"F",1996,4.54,7.25,"10","0",850,1
69,"M",1996,1.18,1.04,"3","0",4795,0
68,"M",1995,0.96,1.23,"3","0",4940,0
72,"M",1996,1.72,1.65,"7","0",4595,0
55,"F",1995,0.71,1.12,"2","0",4957,0
71,"F",1996,0.59,0.97,"1","0",4795,0
76,"M",1995,1.7,1.61,"7","0",3774,1
53,"F",1997,1.13,1.71,"6","0",4318,0
73,"F",1997,1.19,2.36,"8","0",4524,0
53,"F",1996,0.259,0.263,"1","0",4647,0
54,"M",1995,1.13,1.54,"5","0",4939,0
62,"F",1996,0.52,0.74,"1","0",4739,0
52,"M",1999,1.63,1.74,"7","0",3518,0
96,"F",1996,1.28,1.7,"6","0",567,1
51,"M",1996,1.34,1.99,"7","0",4893,0
65,"F",2000,0.933,1.09,"2","0",1974,1
50,"F",1997,0.871,1.31,"3","0",4250,0
50,"M",1997,0.66,0.448,"1","0",4302,0
53,"M",1996,0.75,1.25,"2","0",4766,0
79,"F",1995,1.94,2.02,"9","0",419,1
66,"M",1996,1.29,1.59,"6","0",4922,0
50,"M",1998,1.12,1.36,"4","0",4148,0
58,"F",1995,0.92,1.28,"3","0",4981,0
55,"M",2001,0.823,0.997,"2","0",2933,0
53,"M",2001,1.02,1.25,"3","0",2933,0
71,"F",1995,1.37,1.45,"6","0",4162,1
50,"M",1996,1.18,1.29,"4","0",4645,0
76,"F",1995,2.18,2.5,"9","0",4992,0
74,"F",1996,0.97,1.55,"4","0",4676,0
66,"F",1998,2.19,2.32,"9","0",3980,0
65,"F",1995,1.11,1.26,"4","0",1829,0
50,"F",1996,1.18,1.74,"6","0",4796,0
64,"F",1995,1.94,6.09,"10","0",4949,0
68,"F",1995,0.49,1.23,"1","0",1855,1
63,"F",1995,1.33,1.44,"5","0",4941,0
63,"M",1996,1.79,2.36,"9","0",4800,0
54,"M",1996,1.33,1.35,"5","0",4656,0
84,"F",1996,1.59,1.61,"7","0",3037,1
58,"M",1998,0.866,1.15,"2","0",4073,0
50,"M",1996,0.649,0.0499,"1","1",4595,0
60,"F",1996,0.72,0.73,"1","0",4925,0
54,"M",1995,1.77,2.14,"9","0",4948,0
59,"M",1996,0.62,0.55,"1","0",4836,0
52,"F",1996,0.989,1.91,"6","0",4761,0
69,"F",1996,1.57,2.55,"9","0",4738,0
50,"F",1997,1.76,1.36,"7","0",4521,0
54,"M",1998,0.796,0.499,"1","0",4127,0
50,"M",2003,2.67,2.61,"10","0",2280,0
55,"F",1996,0.65,1.05,"1","0",4865,0
73,"F",1996,1.01,1.33,"4","0",4919,0
72,"F",1995,1.15,1.35,"4","0",4534,1
78,"M",1995,3.44,5.18,"10","0",6,1
80,"F",1996,2.6,1.89,"9","0",121,1
75,"F",1996,1.54,1.33,"6","0",4828,0
53,"M",1996,1.3,1.42,"5","0",4803,0
51,"M",1996,0.66,0.44,"1","0",4829,0
52,"F",1999,0.858,0.581,"1","0",3652,0
74,"F",1996,1.21,1.2,"4","0",4105,1
84,"F",1996,1.49,1.59,"7","0",3764,1
57,"M",1996,0.899,1.2,"3","0",4688,0
59,"M",1999,1.37,1.9,"7","0",3485,0
51,"M",1996,2.16,2.43,"9","0",4873,0
59,"F",1995,1.15,1.68,"6","0",4939,0
57,"F",2000,1.78,1.53,"7","0",3203,0
70,"F",1997,1.36,2.38,"8","0",1824,1
52,"M",1996,0.64,0.99,"1","0",4753,0
79,"F",1996,1.17,1.24,"4","0",4927,0
57,"F",1996,0.68,1.07,"1","0",4703,0
87,"M",1996,1.55,2.71,"9","0",1183,1
57,"F",1995,1.38,1.67,"6","0",4990,0
63,"M",1996,1.63,2.09,"8","0",4698,0
73,"M",1997,1.3,1.36,"5","0",1325,1
75,"F",1997,2.14,2.35,"9","0",107,1
57,"F",1997,0.23,1.27,"1","1",4257,0
50,"M",1999,1.74,2.44,"9","0",3792,0
58,"M",1997,1.19,0.969,"3","0",4264,0
77,"F",1996,1.11,1.73,"6","0",4342,1
80,"M",1996,1.16,2.03,"7","0",1774,1
56,"M",1996,1.53,1.37,"6","0",4575,0
51,"M",1999,0.701,1.21,"2","0",3729,0
79,"F",1996,1.84,1.5,"7","0",2516,1
79,"F",1995,0.77,0.8,"1","0",4998,0
52,"F",1999,2.02,2.05,"9","0",3575,0
65,"F",1995,1.8,2.12,"9","0",4957,0
55,"M",1999,1.18,1.32,"4","0",3490,0
78,"F",1997,2.31,2.29,"9","0",4341,0
52,"F",1997,1.68,2.38,"9","0",4353,0
58,"M",1996,0.747,0.932,"1","0",4761,0
54,"M",1997,0.714,0.965,"1","0",4535,0
58,"M",1996,1.92,1.49,"8","0",4899,0
58,"F",1997,0.689,0.422,"1","0",6,0
58,"F",1996,0.83,0.92,"1","0",4851,0
54,"F",1996,1.52,1.62,"7","0",4673,0
62,"M",1996,1.06,0.86,"2","0",4927,0
52,"M",1996,0.855,2.08,"6","0",4728,0
54,"M",1995,1.31,1.67,"6","0",4949,0
79,"F",2001,1.48,1.39,"6","0",344,1
56,"F",2000,2.09,2,"9","0",3277,0
