"time","status","sex","neutered","intake_condition","intake_type","latitude","longitude","black","brown","brown_tabby","calico","cream","gray","gray_tabby","orange","orange_tabby","tan","tortie","white"
20,1,"male","yes","feral","stray",33.8766522,-118.1989082,1,0,0,0,0,0,0,0,0,0,0,1
20,1,"male","yes","feral","stray",33.8766522,-118.1989082,1,0,0,0,0,0,0,0,0,0,0,1
15,1,"female","yes","normal","owner_surrender",33.8640043,-118.1014941,1,0,0,0,0,0,0,0,0,0,0,1
11,0,"female","yes","normal","stray",33.8581153,-118.1829916,1,0,0,0,0,0,0,0,0,0,0,1
61,0,"male","yes","ill_mild","stray",33.8703779,-118.1031237,0,0,0,0,0,0,0,0,1,0,0,1
10,0,"female","no","normal","stray",33.7926282,-118.0993211,0,0,1,1,0,0,0,0,0,0,0,0
189,1,"male","yes","normal","owner_surrender",33.784565,-118.154242,0,0,0,0,0,1,0,0,0,0,0,1
223,1,"male","no","normal","owner_surrender",33.784565,-118.154242,0,0,0,0,0,0,1,0,0,0,0,1
49,1,"male","yes","normal","owner_surrender",33.784565,-118.154242,0,0,1,0,0,0,0,0,0,0,0,1
62,1,"female","yes","normal","owner_surrender",33.784565,-118.154242,1,0,0,0,0,0,0,0,0,0,0,1
95,0,"male","yes","ill_mild","stray",33.7896274,-118.151579,0,0,1,0,0,0,0,0,0,0,0,1
8,0,"female","no","normal","stray",33.831302,-118.0879898,0,0,0,0,0,0,0,0,0,0,0,1
24,0,"male","no","normal","stray",33.7972993,-118.1999694,0,0,0,0,0,0,0,0,0,0,0,1
13,1,"male","yes","feral","stray",33.8606421,-118.1882829,0,0,0,0,0,0,1,0,0,0,0,1
20,1,"female","yes","feral","stray",33.8134586,-118.1871894,1,0,0,0,0,0,0,0,0,0,0,1
17,0,"female","no","normal","owner_surrender",33.7682376,-118.1465474,0,0,0,0,0,0,0,0,0,0,0,1
12,1,"female","no","normal","stray",33.8860272,-118.0719383,0,0,0,1,0,0,0,0,0,0,0,1
22,0,"male","no","normal","stray",33.8860272,-118.0719383,0,0,1,0,0,0,0,0,0,0,0,1
127,1,"male","yes","ill_mild","stray",33.8006285,-118.1801759,1,0,0,0,0,0,0,0,0,0,0,1
34,1,"female","yes","normal","stray",33.7898666,-118.1796068,1,0,0,0,0,0,0,0,0,0,0,1
35,0,"female","no","under_age_or_weight","stray",33.7898666,-118.1796068,0,0,0,0,0,1,0,0,0,0,0,1
8,0,"female","no","normal","stray",33.8764465,-118.1730485,0,0,0,0,0,0,0,0,0,1,0,1
14,1,"male","yes","feral","stray",33.8782002,-118.1859479,1,0,0,0,0,0,0,0,0,0,0,1
11,0,"male","no","under_age_or_weight","stray",33.8729561,-118.0407857,1,0,0,0,0,0,0,0,0,0,0,1
10,1,"male","yes","feral","stray",33.8782002,-118.1859479,1,0,0,0,0,0,0,0,0,0,0,1
76,1,"male","yes","normal","stray",33.8609928,-118.1987084,1,0,0,0,0,0,0,0,0,0,0,1
14,0,"male","no","under_age_or_weight","stray",33.8691657,-118.1792028,1,0,0,0,0,0,0,0,0,0,0,1
15,0,"female","no","feral","stray",33.8706269,-118.0505069,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"male","no","normal","stray",33.7845907,-118.1750967,0,0,1,0,0,0,0,0,0,0,0,1
13,0,"female","no","under_age_or_weight","stray",33.7989861,-118.1852385,1,0,0,0,0,0,0,0,0,0,0,1
14,1,"female","yes","feral","stray",33.7954676,-118.2073962,0,0,1,0,0,0,0,0,0,0,0,1
11,0,"male","no","under_age_or_weight","stray",33.8753801,-118.1967604,1,0,0,0,0,0,0,0,0,0,0,1
11,0,"male","no","under_age_or_weight","stray",33.8753801,-118.1967604,1,0,0,0,0,0,0,0,0,0,0,1
18,0,"female","no","normal","stray",33.8717045,-118.1695724,0,0,0,0,0,1,0,0,0,0,0,1
14,1,"male","yes","ill_mild","stray",33.7871309,-118.1892678,0,0,0,0,0,1,0,0,0,0,0,1
19,1,"male","no","normal","stray",33.8582345,-118.0738803,1,0,0,0,0,0,1,0,0,0,0,0
20,0,"female","no","normal","stray",33.7862377,-118.1976677,1,0,0,0,0,0,0,0,0,0,0,1
20,0,"female","no","normal","stray",33.7862377,-118.1976677,1,0,0,0,0,0,0,0,0,0,0,1
24,1,"female","yes","feral","stray",33.799068,-118.2130742,0,0,0,1,0,0,0,0,0,0,0,1
15,0,"male","no","normal","stray",33.791446,-118.154294,0,0,1,0,0,0,0,0,0,0,0,1
11,0,"female","no","under_age_or_weight","stray",33.858124,-118.1679453,0,0,0,0,0,1,0,0,0,0,0,1
42,0,"female","yes","normal","stray",33.7537496,-118.0906996,1,0,0,0,0,0,0,0,0,0,0,1
15,0,"male","yes","feral","stray",33.8543836,-118.1660804,1,0,0,0,0,0,0,0,0,0,0,1
16,1,"female","yes","normal","stray",33.8113701,-118.2234229,1,0,0,0,0,0,0,0,0,0,0,1
14,0,"female","no","normal","stray",33.7826012,-118.1867049,0,0,0,0,0,0,1,0,0,0,0,1
14,0,"female","no","normal","stray",33.8113701,-118.2234229,1,0,0,0,0,0,0,0,0,0,0,1
29,0,"male","no","normal","stray",33.7826012,-118.1867049,0,0,0,0,0,0,1,0,0,0,0,1
8,1,"male","no","normal","stray",33.8323679,-118.1338539,0,0,0,0,0,1,0,0,0,0,0,1
10,1,"male","no","normal","owner_surrender",33.7643927,-118.1704594,1,0,0,0,0,0,0,0,0,0,0,1
20,1,"male","yes","other","stray",33.8430084,-118.2002211,1,0,0,0,0,0,0,0,0,0,0,1
146,1,"male","yes","normal","owner_surrender",33.8314436,-118.1730419,0,0,0,0,0,1,0,0,0,0,0,1
55,0,"female","no","normal","stray",33.7848607,-118.1866865,0,0,0,0,0,1,0,0,0,0,1,0
10,0,"male","no","under_age_or_weight","stray",33.8104256,-118.1078694,0,0,0,0,0,1,0,0,0,0,0,1
19,0,"unknown","unknown","under_age_or_weight","stray",33.8776118,-118.0739962,0,0,1,0,0,0,0,0,0,0,0,1
12,1,"female","yes","feral","stray",33.8727983,-118.1751347,1,0,0,0,0,0,0,0,0,0,0,1
9,0,"male","no","under_age_or_weight","stray",33.7912724,-118.1784109,1,0,0,0,0,0,0,0,0,0,0,1
11,0,"female","no","under_age_or_weight","stray",33.7936872,-118.1870385,0,0,0,0,0,1,0,0,0,0,0,1
10,0,"female","no","under_age_or_weight","stray",33.7692936,-118.1963896,0,0,0,0,0,1,0,0,0,0,0,1
10,0,"female","no","under_age_or_weight","stray",33.7692936,-118.1963896,0,0,0,0,0,0,1,0,0,0,0,1
10,0,"female","no","under_age_or_weight","stray",33.7692936,-118.1963896,0,0,0,0,0,0,1,0,0,0,0,1
10,0,"female","no","under_age_or_weight","stray",33.7692936,-118.1963896,0,0,1,0,0,0,0,0,0,0,0,1
11,0,"female","no","ill_mild","stray",33.7914622,-118.1803622,1,0,0,0,0,0,0,0,0,0,0,1
8,1,"male","yes","other","stray",33.8487616,-118.1980605,0,0,0,0,0,1,0,0,0,0,0,1
35,0,"male","yes","normal","stray",33.8216296,-118.2177739,0,0,0,0,0,0,0,0,1,0,0,1
36,1,"male","yes","normal","stray",33.8216296,-118.2177739,0,0,0,0,0,0,0,0,1,0,0,1
36,0,"male","no","under_age_or_weight","stray",33.863295,-118.0565802,1,0,0,0,0,1,0,0,0,0,0,0
23,0,"female","no","normal","stray",33.8325128,-118.1367034,0,0,1,0,0,0,0,0,0,0,0,1
8,1,"male","no","normal","owner_surrender",33.8361372,-118.133837,0,0,0,0,0,0,1,0,0,0,0,1
54,0,"male","no","under_age_or_weight","stray",33.8674137,-118.1644764,1,0,0,0,0,0,0,0,0,0,0,1
54,0,"male","no","under_age_or_weight","stray",33.8674137,-118.1644764,1,0,0,0,0,0,0,0,0,0,0,1
24,1,"male","yes","normal","stray",33.8696134,-118.0536298,1,0,0,0,0,0,0,0,0,0,0,1
21,0,"male","no","normal","stray",33.8346185,-118.1767643,0,0,0,0,0,0,0,0,1,0,0,1
31,0,"female","yes","normal","stray",33.8085881,-118.0692551,1,0,0,0,0,0,0,0,0,0,0,1
18,0,"male","no","normal","stray",33.7953183,-118.1796124,1,0,0,0,0,0,0,0,0,0,0,1
18,0,"female","no","normal","stray",33.7953183,-118.1796124,1,0,0,0,0,0,0,0,0,0,0,1
13,1,"female","yes","normal","stray",33.7853169,-118.1937322,0,0,0,0,0,0,1,0,0,0,0,1
48,0,"male","no","under_age_or_weight","stray",33.8096122,-118.0826161,0,0,0,0,0,1,0,0,0,0,0,1
12,1,"female","yes","normal","stray",33.7898666,-118.1796068,0,1,0,0,0,1,0,0,0,0,0,0
16,1,"female","no","normal","stray",33.7862248,-118.1633188,0,0,0,0,0,1,0,0,0,0,0,1
23,1,"female","no","normal","stray",33.7862248,-118.1633188,0,0,1,0,0,0,0,0,0,0,0,1
12,1,"male","yes","normal","stray",33.7862248,-118.1633188,0,0,0,0,0,1,0,0,0,0,0,1
34,0,"male","yes","normal","stray",33.7463568,-118.1109545,0,0,0,0,0,1,0,0,0,0,0,1
14,1,"male","no","normal","stray",33.8783268,-118.2080757,0,0,1,0,0,0,0,0,0,0,0,1
44,0,"male","no","other","stray",33.7817228,-118.2041051,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"male","no","under_age_or_weight","stray",33.8116426,-118.1607597,0,0,0,0,0,1,0,0,0,0,0,1
10,0,"female","no","under_age_or_weight","stray",33.8116426,-118.1607597,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"male","no","normal","stray",33.8207609,-118.1126864,0,0,1,0,0,0,0,0,0,0,0,1
62,1,"male","no","feral","stray",33.7656907,-118.1863703,0,0,0,0,0,0,0,0,1,0,0,1
21,1,"male","yes","normal","stray",33.8607524,-118.1499585,0,0,0,0,0,0,0,1,0,0,0,1
27,1,"female","yes","feral","stray",33.8502152,-118.1756748,0,0,1,0,0,0,0,0,0,0,0,1
124,1,"male","yes","normal","stray",33.8188592,-118.1078217,0,0,0,0,0,0,0,0,1,0,0,1
10,0,"male","no","normal","stray",33.7972736,-118.2162783,0,0,0,0,0,0,0,0,1,0,0,1
10,0,"male","no","normal","stray",33.7972736,-118.2162783,0,0,0,0,0,0,0,0,1,0,0,1
15,0,"male","no","normal","stray",33.8323621,-118.1250933,0,0,1,0,0,0,0,0,0,0,0,1
44,1,"male","yes","feral","stray",33.8693324,-118.1780605,0,0,0,0,0,0,0,0,1,0,0,1
11,0,"male","no","normal","stray",33.8657939,-118.1770332,0,0,0,0,0,0,0,1,0,0,0,1
42,1,"male","yes","feral","stray",33.7936513,-118.1815696,0,0,0,0,0,1,0,0,0,0,0,1
28,1,"female","yes","normal","stray",33.7938646,-118.1000466,0,0,0,0,0,0,0,0,1,0,0,1
31,1,"female","yes","normal","stray",33.8040869,-118.1869123,1,0,0,0,0,0,0,0,0,0,0,1
18,1,"male","no","normal","stray",33.7838706,-118.216339,0,0,0,0,0,0,0,0,1,0,0,1
13,0,"male","no","under_age_or_weight","stray",33.783938,-118.1341016,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"male","no","normal","stray",33.7948559,-118.1740263,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"male","no","normal","stray",33.7948559,-118.1740263,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"male","no","under_age_or_weight","stray",33.7889816,-118.1207944,0,0,1,0,0,0,0,0,0,0,0,1
10,0,"male","no","under_age_or_weight","stray",33.7889816,-118.1207944,0,0,1,0,0,0,0,0,0,0,0,1
10,0,"female","no","under_age_or_weight","stray",33.7889816,-118.1207944,0,0,1,0,0,0,0,0,0,0,0,1
24,1,"male","yes","normal","owner_surrender",33.7623687,-118.1470038,1,0,0,0,0,1,0,0,0,0,0,0
12,0,"male","no","under_age_or_weight","stray",33.8084713,-118.1666287,0,0,0,0,0,0,1,0,0,0,0,1
19,1,"female","yes","normal","stray",33.7846908,-118.1857238,0,0,0,1,0,0,0,0,0,0,0,1
34,0,"female","no","normal","stray",33.7846908,-118.1857238,1,0,0,0,0,0,0,0,0,0,0,1
18,0,"unknown","unknown","under_age_or_weight","stray",33.8051324,-118.1585302,1,0,0,0,0,0,0,0,0,0,0,1
39,0,"female","yes","normal","stray",33.7665727,-118.1951753,0,0,1,0,0,0,0,0,0,0,0,1
65,1,"female","yes","feral","stray",33.8712957,-118.0544133,0,0,0,0,0,1,0,0,0,0,0,1
27,1,"male","yes","feral","stray",33.8007624,-118.2111168,1,0,0,0,0,0,0,0,0,0,0,1
20,1,"male","yes","normal","other",33.8154459,-118.1803367,0,0,0,0,0,0,0,1,0,0,0,1
13,1,"female","yes","feral","stray",33.7997598,-118.1263884,0,0,0,0,0,0,1,0,0,0,0,1
46,1,"female","yes","normal","stray",33.7643447,-118.1954426,0,0,1,0,0,0,0,0,0,0,0,1
9,0,"male","no","normal","stray",33.8605961,-118.1923925,1,0,0,0,0,0,0,0,0,0,0,1
56,1,"female","yes","feral","stray",33.7787528,-118.1741748,0,0,1,0,0,0,0,0,0,0,0,1
15,1,"female","yes","normal","stray",33.8545294,-118.1564047,0,0,0,0,0,1,0,0,0,0,0,1
37,0,"female","no","normal","stray",33.7603862,-118.1495589,0,0,1,0,0,0,0,0,0,0,0,1
35,0,"male","no","feral","stray",33.7603862,-118.1495589,0,0,1,0,0,0,0,0,0,0,0,1
35,0,"male","no","feral","stray",33.7603862,-118.1495589,0,0,1,0,0,0,0,0,0,0,0,1
16,1,"male","yes","normal","stray",33.8503079,-118.1747327,1,0,0,0,0,0,0,0,0,0,0,1
14,1,"female","no","normal","stray",33.8503079,-118.1747327,1,0,0,0,0,0,0,0,0,0,0,1
314,1,"male","no","under_age_or_weight","stray",33.8313054,-118.0868387,1,0,0,0,0,0,0,0,0,0,0,1
13,0,"male","no","under_age_or_weight","stray",33.7952996,-118.1677681,0,0,0,0,0,0,0,0,1,0,0,1
20,1,"female","yes","normal","stray",33.8341635,-118.130545,1,0,0,0,0,0,0,0,0,0,0,1
14,1,"female","yes","feral","stray",33.7791148,-118.1609526,1,0,0,0,0,0,0,0,0,0,0,1
16,1,"female","yes","feral","stray",33.804991,-118.1218397,1,0,0,0,0,0,0,0,0,0,0,1
19,1,"female","no","normal","stray",33.8323621,-118.1250933,0,0,0,0,0,1,0,0,0,0,0,1
331,1,"female","no","normal","stray",33.7866818,-118.1545568,0,0,0,0,0,1,0,0,0,0,0,1
10,1,"female","no","ill_mild","stray",33.7826031,-118.1545828,0,0,1,0,0,0,0,0,0,0,0,1
8,1,"male","yes","feral","stray",33.7714936,-118.1796768,0,0,0,0,0,0,0,1,0,0,0,1
25,0,"unknown","unknown","normal","stray",33.78261,-118.1633084,1,0,0,0,0,0,0,0,0,0,0,1
56,1,"female","no","normal","owner_surrender",33.7898672,-118.1480288,1,0,0,0,0,0,0,0,0,0,0,1
13,1,"male","no","normal","stray",33.7620376,-118.1891929,1,0,0,0,0,0,0,0,0,0,0,1
43,1,"female","yes","normal","stray",33.7826115,-118.1790548,1,0,0,0,0,0,0,0,0,0,0,1
32,1,"male","no","normal","stray",33.7826115,-118.1790548,1,0,0,0,0,0,0,0,0,0,0,1
248,1,"female","yes","normal","stray",33.7826115,-118.1790548,0,0,0,0,0,0,1,0,0,0,0,1
18,0,"female","no","normal","stray",33.7880474,-118.1785045,0,0,1,1,0,0,0,0,0,0,0,0
18,0,"female","no","normal","stray",33.7880474,-118.1785045,0,0,1,1,0,0,0,0,0,0,0,0
47,0,"male","no","under_age_or_weight","stray",33.7826115,-118.1790548,1,0,0,0,0,0,0,0,0,0,0,1
10,0,"unknown","unknown","under_age_or_weight","stray",33.8096122,-118.0826161,0,0,0,0,0,1,0,0,0,0,0,1
42,0,"unknown","unknown","under_age_or_weight","stray",33.8096122,-118.0826161,0,0,0,0,0,1,0,0,0,0,0,1
25,0,"male","no","normal","stray",33.7871566,-118.1543254,0,0,0,0,0,0,1,0,0,0,0,1
8,0,"female","no","normal","stray",33.7789905,-118.1589358,0,0,1,0,0,0,0,0,0,0,0,1
41,0,"female","no","normal","stray",33.8557948,-118.1883062,1,0,0,0,0,0,0,0,0,0,0,1
36,1,"female","yes","normal","stray",33.8108047,-118.2198046,0,0,1,0,0,0,0,0,0,0,0,1
9,0,"female","yes","fractious","stray",33.7700999,-118.1960785,0,0,0,0,0,0,1,0,0,0,0,1
37,0,"male","no","normal","stray",33.8639454,-118.0697647,0,0,1,0,0,0,0,0,0,0,0,1
18,1,"female","yes","feral","stray",33.8772923,-118.183915,0,0,0,0,0,1,0,0,0,0,0,1
12,1,"female","yes","normal","owner_surrender",33.780778,-118.156752,1,0,0,0,0,0,0,0,0,0,0,1
24,0,"female","no","normal","stray",33.793476,-118.1948138,0,0,1,0,0,0,0,0,0,0,0,1
42,1,"female","yes","feral","stray",33.811509,-118.2187782,0,0,0,0,0,1,0,0,0,0,0,1
36,0,"female","no","normal","stray",33.8727175,-118.0525379,1,0,0,0,0,0,0,0,0,0,0,1
9,0,"male","no","normal","stray",33.8291168,-118.1716706,0,0,0,0,0,0,1,0,0,0,0,1
69,1,"male","yes","feral","stray",33.7838706,-118.216339,0,0,0,0,0,0,0,0,0,1,0,1
52,1,"male","yes","normal","owner_surrender",33.7736785,-118.1609298,0,0,0,0,0,0,0,1,0,0,0,1
34,1,"female","no","normal","owner_surrender",33.8517802,-118.19174,1,0,0,0,0,0,0,0,0,0,0,1
34,1,"male","no","normal","owner_surrender",33.8517802,-118.19174,0,0,0,0,0,0,0,0,1,0,0,1
31,1,"female","yes","normal","stray",33.8693646,-118.168357,0,0,0,0,0,1,0,0,0,0,0,1
38,1,"female","yes","normal","stray",33.782348,-118.1478799,1,0,0,0,0,0,0,0,0,0,0,1
87,0,"unknown","unknown","normal","stray",33.8190198,-118.2152086,0,0,0,0,0,0,0,0,1,0,0,1
128,1,"female","yes","normal","other",33.7882134,-118.1921115,0,0,0,0,0,0,0,0,0,0,0,1
300,0,"female","yes","normal","other",33.7882134,-118.1921115,0,0,0,0,0,0,0,0,0,0,0,1
14,1,"male","yes","normal","stray",33.7885258,-118.1243993,0,0,0,0,0,0,0,0,1,0,0,1
103,0,"female","yes","normal","owner_surrender",33.7698941,-118.1358002,0,1,1,0,0,0,0,0,0,0,0,0
57,1,"male","yes","normal","stray",33.8073898,-118.1536367,1,0,0,0,0,0,0,0,0,0,0,1
134,0,"male","yes","feral","stray",33.8523859,-118.1955218,1,0,0,0,0,0,0,0,0,0,0,1
92,0,"male","no","normal","stray",33.7986706,-118.0854208,1,0,0,0,0,0,0,0,0,0,0,1
46,0,"female","no","under_age_or_weight","stray",33.7881628,-118.1773224,0,0,1,0,0,0,0,0,0,0,0,1
37,0,"male","no","under_age_or_weight","stray",33.7426408,-118.1000082,1,0,0,0,0,0,0,0,0,0,0,1
52,0,"female","no","normal","stray",33.7753479,-118.1687498,1,0,0,0,0,0,0,0,0,0,1,0
