"authors","imports","suggests","depends","Roxygen","gh","rforge","descr","r_count","r_size","ns_import","ns_export","s3_methods","s4_methods","doc_count","doc_size","src_count","src_size","data_count","data_size","testthat_count","testthat_size","time","status"
2,0,0,0,0,0,0,442,1,0.007524,0,0,0,0,0,0,0,0,0,0,0,0,32,1
7,2,0,2,0,0,0,562,12,0.023119,3,0,0,0,0,0,0,0,0,0,0,0,144,1
1,0,0,2,0,0,0,64,13,0.050066,4,0,7,0,0,0,0,0,2,0.003259,0,0,38,1
1,7,0,1,1,1,0,642,22,0.131283,0,8,8,0,0,0,0,0,0,0,0,0,57,1
4,0,0,1,0,0,0,60,1,0.09723,0,0,14,0,0,0,0,0,0,0,0,0,58,1
1,6,2,1,0,0,0,227,21,0.139733,5,1,4,0,0,0,12,0.079171,4,0.979896,0,0,186,1
2,4,1,2,0,0,0,95,1,0.092656,7,1,11,0,0,0,4,0.040202,0,0,0,0,165,1
6,0,1,0,0,0,0,1004,2,0.006426,0,0,0,0,0,0,3,0.042977,0,0,1,0.000781,54,1
1,3,0,1,0,0,0,166,14,0.101579,5,5,0,0,0,0,8,0.104321,1,0.07821,0,0,98,1
1,4,1,6,0,0,0,492,40,0.037282,1,0,0,0,0,0,0,0,3,0.13609,0,0,154,1
3,0,0,1,0,0,0,151,10,0.08241,0,6,0,0,0,0,0,0,0,0,0,0,44,1
1,1,3,2,0,1,0,447,4,0.027584,4,1,0,0,1,0.005521,1,0.011865,0,0,0,0,80,0
1,5,2,1,0,0,0,531,15,0.080706,5,3,0,0,1,0.012583,0,0,1,0.003898,0,0,140,1
1,7,1,2,0,1,0,148,18,0.048294,42,0,7,0,0,0,0,0,0,0,0,0,97,1
1,0,4,1,1,1,0,203,6,0.013318,0,4,0,0,2,0.006449,0,0,0,0,4,0.003249,73,1
1,0,1,0,0,0,0,531,1,0.07244,2,0,4,0,0,0,0,0,0,0,0,0,41,1
1,4,0,1,1,0,0,684,5,0.018413,7,8,0,0,0,0,0,0,1,0.354636,0,0,61,1
1,0,0,2,0,0,0,149,1,0.015989,4,0,6,0,0,0,0,0,1,0.000239,0,0,66,1
5,4,0,0,0,0,0,75,6,0.003037,0,4,1,0,0,0,0,0,1,0.010657,0,0,52,1
2,0,0,2,0,0,0,122,5,0.011135,2,0,0,0,0,0,0,0,0,0,0,0,33,1
1,4,0,0,0,0,0,125,5,0.020609,1,1,0,0,0,0,8,0.01382,0,0,0,0,80,1
1,5,0,4,0,0,0,534,1,0.102042,9,0,6,1,0,0,0,0,10,0.717453,0,0,98,1
1,0,2,4,1,0,0,758,3,0.044619,8,5,0,0,2,0.007895,0,0,3,0.054744,0,0,95,1
1,1,2,2,0,0,0,555,6,0.017488,2,11,0,0,0,0,0,0,3,0.004784,2,0.004285,82,1
1,0,0,1,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1
1,1,0,0,0,0,0,174,32,0.010174,3,0,0,0,0,0,0,0,56,0.038257,0,0,60,1
2,3,0,2,1,0,0,471,10,0.019123,3,1,3,0,0,0,2,0.002928,4,0.078861,0,0,122,1
6,1,1,2,0,0,0,60,7,0.00947,4,0,0,0,3,0.011166,0,0,6,0.139623,0,0,130,1
1,10,9,1,1,1,0,312,15,0.062763,47,15,0,0,1,0.014201,0,0,1,0.007239,0,0,124,1
1,3,0,1,1,0,0,711,1,0.022211,0,2,0,0,0,0,0,0,1,0.130929,0,0,43,1
1,2,0,1,1,0,0,292,1,0.037117,0,11,2,0,0,0,0,0,2,0.120545,0,0,72,1
1,4,4,1,1,0,0,148,7,0.015505,6,4,3,0,1,0.007981,0,0,1,0.026324,1,0.000486,116,1
1,1,0,5,0,0,0,210,19,0.050615,3,0,0,0,0,0,0,0,9,1.358113,0,0,58,1
1,5,2,0,1,0,0,354,3,0.006608,1,3,0,0,0,0,0,0,0,0,1,0.000839,86,1
1,3,1,1,0,0,0,576,74,0.212937,3,1,46,0,7,0.175107,54,0.273234,3,0.001392,0,0,148,1
3,7,0,1,1,0,0,197,1,0.014543,12,2,0,0,0,0,0,0,0,0,0,0,63,1
3,0,0,2,0,0,0,266,13,0.022027,4,1,8,0,0,0,0,0,1,0.644344,0,0,36,1
4,0,1,4,0,0,0,1449,20,0.040778,4,0,4,0,0,0,0,0,0,0,0,0,209,1
1,2,0,1,0,0,0,240,18,0.047158,2,14,0,0,0,0,5,0.03169,0,0,0,0,49,1
2,9,2,1,1,0,0,247,54,0.26014,17,41,0,0,0,0,0,0,0,0,0,0,185,1
1,0,0,5,0,0,0,60,9,0.019313,4,0,0,0,0,0,0,0,1,0.38364,0,0,107,1
2,17,1,1,1,0,0,483,96,0.238381,1,133,0,0,1,0.019611,0,0,0,0,0,0,82,1
1,2,0,0,1,0,0,505,4,0.020177,3,4,0,0,0,0,0,0,0,0,0,0,40,1
1,3,3,1,1,0,0,198,2,0.004341,3,4,0,0,0,0,0,0,7,0.002725,1,0.001149,68,1
1,0,0,4,0,0,0,131,10,0.041221,1,0,0,0,0,0,0,0,1,0.108791,0,0,80,1
1,2,0,3,0,0,0,699,30,0.146918,3,1,11,0,0,0,7,0.025172,0,0,0,0,149,1
7,4,2,1,0,0,0,544,22,0.114051,11,0,0,0,0,0,0,0,0,0,0,0,84,1
1,4,2,1,1,0,0,277,5,0.031701,15,8,2,0,1,0.011581,0,0,2,0.734043,0,0,289,1
3,3,0,1,0,0,0,533,2,0.009236,3,11,10,0,0,0,4,0.009183,0,0,0,0,118,1
1,0,0,1,0,0,0,330,1,0.002325,0,1,0,0,1,0.017439,3,0.062705,0,0,0,0,55,1
3,0,0,4,1,1,0,354,1,0.00871,5,0,0,0,0,0,0,0,0,0,0,0,65,1
1,1,8,0,1,1,0,299,17,0.084704,27,14,0,0,1,0.02794,0,0,1,0.347097,1,0.001775,362,1
1,0,0,7,0,0,0,326,8,0.083111,1,0,0,0,0,0,0,0,2,1.20976,0,0,87,1
1,0,0,1,0,0,0,385,86,0.021775,0,1,0,0,0,0,0,0,0,0,0,0,44,1
1,5,2,1,1,1,0,230,4,0.019883,4,3,0,0,1,0.003265,0,0,1,0.00223,0,0,171,1
1,2,2,0,0,0,0,259,2,0.011727,2,5,0,0,0,0,0,0,0,0,0,0,51,1
1,0,0,5,1,0,0,234,3,0.05156,4,0,6,0,0,0,0,0,1,0.05693,0,0,77,1
1,3,0,1,1,0,0,447,10,0.059485,11,3,6,0,0,0,0,0,1,0.042273,0,0,66,1
1,11,0,1,1,1,0,121,2,0.013422,1,1,0,0,0,0,0,0,0,0,0,0,54,1
1,1,0,2,1,0,0,1075,3,0.019282,3,0,0,0,0,0,0,0,0,0,0,0,37,1
3,0,1,0,0,1,0,107,9,0.018593,0,7,1,0,1,0.002742,0,0,1,0.000154,0,0,58,1
1,4,0,1,0,1,0,153,32,0.096257,3,21,10,0,0,0,0,0,0,0,0,0,79,1
4,0,0,3,1,0,0,1039,1,0.070525,6,0,4,0,0,0,0,0,4,0.002541,0,0,98,1
10,6,12,1,0,0,0,425,188,0.872542,6,24,158,0,0,0,12,0.172359,108,2.620105,0,0,428,1
3,7,1,2,0,0,0,60,30,0.396874,8,0,0,0,0,0,0,0,0,0,0,0,105,1
2,5,2,0,1,1,0,149,5,0.025268,19,12,7,0,0,0,3,0.003873,0,0,1,0.001857,160,1
15,15,8,3,1,1,0,594,68,0.672974,64,54,90,3,0,0,9,0.066576,10,1.319188,15,0.033411,299,1
2,10,7,1,0,0,0,155,58,0.575661,11,1,52,1,1,0.056485,0,0,0,0,0,0,405,1
2,3,4,7,0,0,0,63,20,0.123903,4,45,12,1,1,0.089466,2,0.090548,0,0,0,0,126,1
2,3,4,6,0,0,0,60,37,0.132834,4,52,28,0,1,0.102041,2,0.070897,9,0.249296,0,0,109,1
2,3,3,7,0,0,0,59,60,0.146893,4,94,24,0,1,0.100198,2,0.128665,14,0.557324,0,0,133,1
2,5,3,3,0,0,0,47,24,0.052624,5,25,9,1,1,0.024108,2,0.051347,2,0.211236,0,0,80,1
3,3,0,2,1,0,0,104,14,0.156017,31,17,9,0,1,0.023479,8,0.069541,9,0.014056,0,0,264,1
4,7,3,1,1,0,0,322,17,0.114461,8,1,0,0,0,0,0,0,2,0.006796,3,0.015809,68,1
1,3,0,0,0,0,0,467,4,0.014912,3,3,0,0,0,0,0,0,1,0.000405,0,0,50,1
11,14,6,0,1,0,0,198,47,0.378197,88,43,15,0,1,0.013342,10,0.090375,3,0.0058,0,0,480,1
1,1,3,1,1,0,0,376,6,0.114544,0,7,0,21,1,0.014858,0,0,2,0.007072,0,0,68,1
1,0,0,0,0,0,0,129,3,0.002583,0,0,0,0,0,0,0,0,0,0,0,0,26,1
1,5,3,1,1,1,0,957,3,0.676354,5,20,27,0,2,0.167858,0,0,2,0.017606,0,0,112,1
1,0,0,4,0,0,0,422,2,0.00894,3,1,0,0,0,0,0,0,1,0.017808,0,0,163,1
2,0,0,4,0,0,0,244,9,0.190405,1,11,0,0,0,0,11,0.123801,0,0,0,0,57,1
1,3,1,6,0,0,0,577,79,0.246016,10,0,10,0,0,0,0,0,7,0.013504,0,0,300,1
1,0,0,4,1,0,0,306,1,0.011303,8,6,0,0,0,0,0,0,0,0,0,0,107,1
1,8,7,1,1,1,0,570,8,0.056081,34,8,26,0,3,0.019896,2,0.012962,1,0.011856,14,0.015327,234,1
1,5,0,1,1,1,0,133,1,0.006434,4,1,0,0,0,0,0,0,0,0,0,0,60,1
1,4,4,0,1,0,0,329,7,0.008519,4,9,0,0,0,0,0,0,0,0,1,0.000485,65,1
1,0,0,1,0,0,0,160,50,0.071128,4,8,0,0,0,0,3,0.060564,0,0,0,0,111,1
1,0,1,1,1,1,0,425,17,0.032071,2,4,0,0,1,0.055446,3,0.003747,0,0,0,0,71,1
1,13,3,1,1,1,0,414,18,0.560709,0,70,19,0,1,0.022665,0,0,16,1.08284,6,0.013413,256,1
1,7,0,0,1,0,0,253,11,0.043742,11,8,0,0,0,0,12,0.037974,0,0,0,0,135,1
3,1,0,1,0,0,0,505,6,0.043218,3,1,1,0,0,0,2,0.081561,0,0,0,0,123,1
1,5,5,3,1,1,0,378,5,0.052143,12,4,4,0,3,0.032119,9,0.039635,0,0,2,0.002596,166,1
1,2,8,1,1,1,0,449,11,0.09043,21,7,0,0,1,0.020929,0,0,0,0,0,0,99,1
1,4,2,1,1,1,0,1022,22,0.040769,8,9,2,0,1,0.006993,0,0,5,0.142719,17,0.062187,105,1
1,0,0,3,1,0,0,1346,2,0.013766,2,1,0,0,0,0,0,0,1,0.008999,0,0,33,1
1,1,2,1,1,1,0,587,4,0.032012,4,5,0,0,1,0.008802,3,0.158171,0,0,0,0,110,1
1,2,0,0,1,0,0,272,12,0.126508,4,1,37,0,0,0,8,0.351433,5,0.058749,0,0,167,1
1,0,0,2,0,0,0,220,11,0.027557,3,10,0,0,0,0,0,0,0,0,0,0,40,1
2,6,1,1,1,0,0,330,28,0.050341,10,21,4,10,1,0.003731,0,0,0,0,0,0,139,1
6,0,0,0,1,0,0,589,2,0.007323,0,2,0,0,0,0,0,0,0,0,0,0,33,1
1,0,0,1,0,0,0,589,3,0.012503,3,0,0,0,0,0,0,0,1,0.111892,0,0,38,1
1,3,0,1,1,0,0,669,6,0.05532,0,32,0,0,0,0,0,0,0,0,0,0,30,1
1,3,1,1,1,0,0,66,1,0.008023,4,1,0,0,0,0,0,0,0,0,0,0,47,1
1,6,3,1,1,0,0,169,1,0.007035,0,3,0,0,0,0,0,0,1,1.933064,1,0.001502,60,1
1,2,29,6,0,0,0,238,4,0.029273,7,1,28,0,2,0.013817,0,0,107,1.919523,0,0,371,1
3,16,0,1,1,0,0,453,17,0.244562,108,15,0,0,0,0,0,0,1,0.007612,0,0,162,1
1,0,0,8,1,0,0,526,11,0.099771,26,7,4,0,0,0,0,0,3,0.106208,0,0,111,1
1,0,0,0,1,0,0,620,16,0.075945,0,15,0,0,0,0,0,0,11,0.010997,0,0,28,1
3,0,0,3,0,1,0,820,2,0.007875,1,1,1,0,0,0,5,0.072439,10,0.633475,0,0,144,1
1,6,30,2,1,1,0,850,27,0.22594,37,24,13,0,3,0.069525,0,0,9,0.078575,17,0.89614,474,1
1,0,0,1,0,0,0,167,8,0.004242,1,0,0,0,0,0,0,0,1,0.007212,0,0,28,1
1,21,0,1,1,0,0,268,10,0.405124,131,90,0,14,0,0,0,0,5,1.128467,2,0.001437,232,1
3,10,0,2,1,0,0,414,23,0.083203,19,19,2,0,0,0,0,0,1,0.835564,0,0,101,1
1,2,3,1,0,1,0,622,21,0.041803,0,16,9,0,3,0.033741,0,0,1,0.001217,2,0.004191,119,1
1,6,1,1,1,1,0,777,4,0.112663,32,3,14,0,0,0,2,0.026847,0,0,0,0,148,1
1,2,0,1,1,1,0,289,4,0.062535,37,5,0,0,0,0,0,0,22,0.260207,0,0,96,1
1,4,2,1,1,0,0,319,3,0.016039,0,2,0,0,1,0.003061,0,0,0,0,0,0,49,1
3,4,0,0,0,0,0,219,1,0.005059,1,1,0,0,0,0,0,0,0,0,0,0,30,1
2,0,0,0,1,0,0,448,3,0.00298,1,2,0,0,0,0,0,0,0,0,0,0,24,1
1,1,3,0,1,1,0,242,9,0.045266,2,6,0,0,1,0.01897,0,0,0,0,0,0,98,1
1,0,0,6,0,0,0,231,8,0.057144,2,36,1,0,0,0,6,0.038699,0,0,0,0,120,1
1,6,0,1,1,1,0,518,12,0.030049,1,16,0,0,0,0,0,0,3,0.09528,0,0,65,1
1,2,0,3,0,0,0,389,7,0.019529,6,0,0,0,0,0,0,0,3,0.000839,0,0,115,1
1,0,4,2,1,0,0,233,7,0.02599,12,4,2,0,0,0,0,0,1,0.000371,4,0.003028,60,1
1,7,0,1,0,0,0,788,86,0.218361,8,0,4,0,1,0.073794,0,0,35,0.07365,0,0,225,1
1,0,46,0,1,1,0,214,0,0,0,0,0,0,3,0.054002,0,0,1,0.011074,1,0.000207,279,1
1,6,1,1,1,0,0,510,11,0.062027,7,0,0,0,0,0,0,0,5,0.003433,0,0,129,1
1,0,0,0,0,0,1,571,26,0.022198,2,0,0,0,1,0.024944,0,0,0,0,0,0,41,1
3,4,0,0,0,0,0,416,15,0.096513,4,10,8,0,1,0.03765,1,0.030541,0,0,0,0,88,1
1,2,0,2,0,1,0,112,5,0.02647,1,0,0,0,0,0,0,0,0,0,0,0,36,1
1,0,0,3,0,0,0,122,22,0.060116,2,1,18,0,0,0,2,0.027027,1,0.231708,0,0,98,1
3,10,0,2,0,0,0,417,31,0.159312,11,16,0,0,0,0,0,0,6,0.083983,0,0,161,1
1,7,2,1,1,1,0,72,4,0.020185,7,3,2,0,1,0.002555,0,0,0,0,0,0,170,1
1,1,2,0,1,1,0,979,2,0.010286,1,2,0,0,0,0,2,0.033676,0,0,0,0,85,1
1,5,7,1,1,1,0,110,8,0.034075,11,15,0,0,2,0.026966,0,0,0,0,5,0.006184,139,1
1,6,3,0,1,0,0,736,13,0.04328,6,10,0,0,1,0.038993,0,0,2,0.00162,0,0,124,1
1,4,1,1,1,0,0,460,8,0.057213,5,12,3,0,0,0,3,0.008673,0,0,4,0.007733,151,1
1,12,12,1,0,0,0,956,34,1.921232,6,3,489,0,0,0,0,0,15,0.033426,0,0,304,1
4,7,0,1,0,0,0,212,5,0.02798,7,0,2,0,0,0,0,0,3,0.001594,0,0,100,1
1,1,1,0,1,0,0,104,1,0.016385,1,10,0,0,0,0,0,0,0,0,11,0.010631,104,1
1,5,0,0,1,0,0,238,8,0.089546,20,7,2,0,0,0,0,0,0,0,0,0,130,1
1,1,0,1,0,0,0,151,14,0.060396,0,1,0,0,0,0,0,0,0,0,0,0,99,1
1,1,2,2,1,0,0,422,3,0.004962,0,1,0,0,0,0,0,0,1,0.000331,0,0,45,1
1,11,9,1,1,1,0,314,13,0.082828,43,23,0,0,0,0,0,0,2,0.003423,10,0.028157,112,1
1,0,9,1,0,0,0,357,37,0.246929,4,36,1,0,4,0.041226,10,0.061714,4,0.52736,0,0,164,1
1,7,1,1,0,0,0,515,13,0.058702,13,14,7,0,0,0,0,0,0,0,0,0,85,1
1,1,2,1,1,1,0,189,4,0.015726,3,7,0,0,1,0.005826,0,0,1,0.249574,0,0,63,1
1,5,3,1,1,0,0,194,3,0.013591,11,10,0,3,1,0.005351,0,0,0,0,1,0.002655,71,1
3,0,0,0,0,0,0,491,42,0.032382,4,0,0,0,0,0,3,0.066217,5,0.9229,0,0,45,1
1,3,3,0,1,1,0,124,4,0.013078,0,1,5,0,1,0.001802,0,0,0,0,0,0,56,1
2,0,0,0,0,0,0,281,30,0.018754,0,0,14,0,0,0,0,0,1,0.000369,0,0,33,1
1,1,0,1,0,0,0,513,11,0.026631,7,1,0,0,0,0,19,0.406758,3,0.003014,0,0,59,1
1,0,0,0,0,0,0,209,4,0.00592,0,0,0,0,0,0,0,0,0,0,0,0,26,1
1,9,15,0,1,1,0,381,32,0.185653,35,23,8,0,1,0.017317,0,0,1,0.016786,18,0.037734,157,1
1,0,0,2,0,0,0,199,2,0.028165,1,0,0,0,0,0,0,0,0,0,0,0,35,1
1,15,3,2,1,0,0,441,11,0.242263,96,66,0,2,5,0.04119,2,0.012568,2,0.137099,0,0,302,1
2,1,0,0,1,1,0,235,2,0.014084,4,3,0,7,0,0,0,0,0,0,0,0,31,1
1,0,1,0,0,0,0,429,1,0.006224,1,11,0,0,0,0,0,0,0,0,0,0,43,1
3,2,0,1,0,0,0,85,2,0.010299,4,1,0,0,0,0,0,0,0,0,0,0,38,1
1,1,2,0,1,0,0,290,3,0.037524,2,0,0,0,0,0,0,0,0,0,0,0,79,1
5,10,1,1,0,1,0,1343,7,0.059673,27,1,21,0,0,0,0,0,3,0.098071,3,0.087923,178,1
1,6,5,1,1,1,0,331,1,0.006178,10,2,0,0,1,0.001595,0,0,0,0,1,0.001779,98,1
1,0,0,0,0,1,0,335,4,0.036087,0,1,2,0,1,0.112401,4,0.126477,5,0.00133,0,0,55,1
1,0,1,1,0,0,0,123,1,0.008985,1,1,0,0,1,0.005353,0,0,0,0,0,0,37,1
1,4,2,2,1,0,0,462,6,0.02208,1,0,0,0,1,0.003332,0,0,0,0,0,0,54,1
1,3,0,1,0,0,0,378,43,0.178589,4,42,6,0,0,0,7,0.007894,8,0.002388,0,0,123,1
1,1,1,1,1,1,0,255,1,0.009455,2,4,0,0,1,0.004856,0,0,0,0,0,0,76,1
1,0,0,0,0,0,0,586,17,0.018677,3,1,0,0,0,0,9,0.032119,1,0.000935,0,0,41,1
1,0,0,1,0,0,0,68,5,0.01535,1,0,0,0,0,0,0,0,0,0,0,0,38,0
1,0,0,2,0,0,0,135,4,0.008988,6,4,0,0,0,0,0,0,2,0.573349,0,0,37,1
1,4,1,0,1,0,0,924,4,0.105908,4,4,0,0,1,0.035863,0,0,0,0,0,0,77,1
1,0,0,1,0,0,0,1101,1,0.136699,1,0,0,0,0,0,0,0,5,0.023022,0,0,41,1
1,0,1,1,0,0,0,164,1,0.084459,2,0,0,0,0,0,0,0,0,0,0,0,35,1
1,0,0,0,0,0,0,368,1,0.000203,0,1,0,0,0,0,1,0.003758,0,0,0,0,34,1
2,0,0,0,0,0,0,59,2,0.009466,0,0,0,0,0,0,0,0,0,0,0,0,37,1
1,0,6,0,1,1,0,106,3,0.017689,18,2,0,0,1,0.00993,0,0,0,0,1,0.000387,55,1
1,6,1,1,1,1,0,530,7,0.03339,21,4,8,0,2,0.021451,5,0.006744,0,0,0,0,186,1
1,4,2,0,1,1,0,79,14,0.097653,1,15,0,0,1,0.024614,6,0.018186,0,0,0,0,279,1
4,6,0,0,0,0,0,459,22,0.054097,9,19,3,0,0,0,2,0.183165,0,0,0,0,192,1
2,1,0,4,0,0,0,295,17,0.026541,5,0,0,0,0,0,0,0,2,0.003286,0,0,100,1
2,0,1,2,1,0,0,514,9,0.048359,7,6,1,0,0,0,4,0.018634,0,0,0,0,109,1
1,1,3,3,1,0,0,876,17,0.221759,19,67,0,0,1,0.009247,26,0.271305,0,0,6,0.040678,231,1
3,7,6,1,1,0,0,594,1,0.030277,2,0,0,0,0,0,0,0,0,0,0,0,54,1
1,2,5,1,1,1,0,410,4,0.007253,0,2,0,0,1,0.00035,0,0,2,0.001314,5,0.003499,57,1
1,11,5,1,1,1,0,258,4,0.006027,1,2,0,0,0,0,0,0,0,0,5,0.002826,80,1
1,0,0,2,0,0,0,381,4,0.017764,4,6,18,0,0,0,0,0,83,0.23821,0,0,80,1
1,0,0,3,0,0,0,221,2,0.000628,3,1,0,0,0,0,0,0,80,0.359606,0,0,125,1
1,0,0,3,0,0,0,441,10,0.019817,4,0,0,0,0,0,0,0,2,0.380762,0,0,35,1
1,0,0,0,0,0,0,125,1,0.003583,0,0,0,0,0,0,0,0,0,0,0,0,26,1
1,0,0,6,1,0,0,339,19,0.031449,41,19,0,0,0,0,0,0,38,0.014897,0,0,97,1
1,5,2,0,1,1,0,444,9,0.030004,5,15,6,0,1,0.006388,0,0,0,0,0,0,62,1
1,0,0,1,0,0,0,135,6,0.008467,2,1,0,0,0,0,0,0,5,0.004572,0,0,32,1
1,2,0,1,0,0,0,752,1,0.058651,13,14,0,0,0,0,0,0,0,0,0,0,49,1
1,0,1,1,0,0,0,104,8,0.018643,2,3,4,0,1,0.00181,21,0.106995,0,0,0,0,53,1
1,0,0,0,0,0,0,100,5,0.018402,0,0,0,0,0,0,0,0,1,0.244541,0,0,37,1
1,4,0,1,1,0,0,171,5,0.007553,4,5,0,0,0,0,0,0,0,0,0,0,69,1
1,1,0,0,1,1,0,387,9,0.019361,1,6,0,0,0,0,10,0.149041,0,0,0,0,70,1
1,0,0,1,1,0,0,321,2,0.209289,0,0,0,0,0,0,0,0,268,0.095502,0,0,50,1
1,0,2,0,1,0,0,232,3,0.039776,0,3,0,0,1,0.008648,0,0,0,0,0,0,52,1
1,0,6,1,1,1,0,67,1,0.000857,0,0,0,0,1,0.001596,0,0,1,4.70242,0,0,93,1
3,6,2,2,0,0,0,1109,14,0.280136,7,0,10,0,1,0.106159,5,0.018265,2,0.005506,0,0,148,1
1,1,3,0,1,0,0,504,5,0.015119,10,2,4,0,1,0.0051,0,0,0,0,4,0.013829,45,1
4,0,3,1,1,0,0,808,42,0.093624,2,39,2,0,1,0.078861,0,0,16,1.053586,0,0,50,1
1,0,0,1,0,0,0,857,1,0.006112,0,0,0,0,0,0,0,0,0,0,0,0,31,1
1,2,0,1,1,0,0,128,3,0.024624,14,3,0,0,0,0,0,0,3,0.150053,0,0,63,1
1,0,0,0,0,0,0,346,1,0.076724,0,0,0,0,0,0,0,0,0,0,0,0,33,1
4,0,0,4,0,0,0,433,6,0.022575,6,1,2,0,0,0,3,0.068505,0,0,0,0,116,1
1,2,0,4,1,0,0,340,8,0.165551,22,15,32,7,0,0,0,0,3,0.003337,0,0,79,1
1,0,1,2,0,0,0,489,6,0.014811,0,0,0,0,0,0,0,0,1,0.359304,0,0,49,1
1,7,3,1,1,1,0,959,17,0.096492,10,16,0,0,1,0.015125,0,0,0,0,0,0,194,1
2,2,5,0,1,0,0,388,16,0.080156,9,21,0,1,0,0,0,0,1,0.01284,0,0,114,1
1,0,0,0,0,1,0,150,1,0.000968,0,0,0,0,0,0,0,0,0,0,0,0,25,1
1,11,0,1,1,0,0,647,9,0.083842,0,8,0,0,0,0,0,0,1,0.033125,0,0,74,1
1,0,2,3,0,0,0,129,1,0.007269,3,0,0,0,0,0,0,0,0,0,0,0,108,1
7,0,0,0,0,0,0,270,5,0.030123,0,1,1,0,0,0,9,0.074697,0,0,0,0,36,1
1,7,0,1,1,0,0,269,7,0.011747,13,6,0,0,0,0,0,0,1,0.067066,0,0,73,1
1,0,0,1,1,0,0,351,1,0.006377,10,1,0,0,0,0,0,0,0,0,0,0,27,1
1,0,0,4,0,0,0,833,8,0.01373,1,1,0,0,0,0,0,0,4,0.457628,0,0,123,1
1,11,5,1,1,0,0,168,30,0.358673,76,97,34,36,2,0.013335,0,0,10,1.329586,27,0.064394,194,1
1,28,12,1,1,0,0,320,44,0.103457,55,107,136,0,2,0.010322,5,0.01996,5,0.45299,3,0.005876,354,1
1,4,0,1,1,1,0,176,8,0.007838,11,3,2,0,0,0,0,0,3,0.26348,0,0,103,1
1,0,6,3,1,1,0,833,11,0.155099,7,1,14,0,1,0.024745,26,0.629835,0,0,11,0.023269,384,1
